,2012,2013,2014,2015,2016,2017,2018,2019
西麦食品,,,,,,,,16.1813
青鸟消防,,,,,,,,15.5042
豪尔赛,,,,,,,,18.6533
科安达,,,,,,,,38.5973
乐普医疗,39.7007,28.1331,27.1021,21.5259,21.5329,21.8986,19.7422,22.1126
华测检测,19.2324,19.6306,16.0576,14.1456,6.7264,6.4983,10.5401,15.2037
亿纬锂能,16.2072,15.4432,6.6925,12.3065,13.4741,14.5213,13.3972,24.1564
北陆药业,23.0086,19.894000000000002,21.401999999999997,6.291,3.1081,22.7384,24.3008,41.8057
同花顺,15.0827,11.9218,22.7621,66.3841,69.8856,51.4758,45.7091,51.5285
建新股份,3.4014,8.7849,8.7014,5.5711,6.87,16.2491,46.2537,35.1846
智飞生物,28.5036,16.7074,18.4788,27.6963,7.2924,32.1976,27.7598,22.3516
青松股份,6.1352,5.5003,6.8408,1.8508,5.8739,11.6797,28.1627,16.315
信维通信,2.8246,-18.6249,7.8104,17.0288,21.7041,25.9294,21.0307,20.0051
上海新阳,27.7538,21.1492,17.9356,11.2472,12.8864,15.1865,1.0969,32.9001
安科瑞,27.4098,30.1458,25.2111,20.0176,24.264,23.3285,21.2068,18.872
中颖电子,9.2175,7.8179,8.4092,12.1018,20.6319,18.8455,21.293000000000003,21.7432
泰格医药,26.6701,28.1552,21.8386,18.1705,13.3483,19.6898,22.0283,34.7918
我武生物,,,41.5633,44.1086,41.3992,48.2664,46.3039,45.7682
汇中股份,,,36.8557,31.6038,24.7684,26.4489,29.1553,30.4391
迪瑞医疗,,,20.8355,21.1427,20.761999999999997,24.3324,25.7074,27.0508
花园生物,,,23.3888,7.9848,13.300999999999998,31.0581,46.5618,47.8444
九强生物,,,41.4424,43.2785,40.702,39.3433,38.8367,39.4415
南华仪器,,,,19.1006,20.0431,20.0106,18.2715,36.6987
昆仑万维,,,,22.6527,22.4876,41.2845,41.8615,37.6079
鲁亿通,,,,14.0074,10.6139,10.468,14.8638,15.0424
乐凯新材,,,,40.8942,41.301,40.4204,38.9711,39.3445
先导智能,,,,27.1512,26.9377,24.6911,19.0857,16.3445
山河药辅,,,,17.0991,17.0339,15.5834,18.0136,19.4308
深信服,,,,,,,18.7094,16.5341
华铭智能,,,,22.6372,22.6645,18.282,19.771,19.2444
迈克生物,,,,23.5608,22.0912,20.7333,17.9838,17.5517
中密控股,,,,25.3698,29.2343,24.2795,24.2585,24.8879
濮阳惠成,,,,16.4156,17.1864,13.6076,16.6309,21.2745
万孚生物,,,,29.2345,26.5837,19.6482,21.0044,20.6096
蓝晓科技,,,,17.2167,18.5603,20.9079,22.4214,24.5156
富祥药业,,,,16.1454,22.5904,18.2097,16.534000000000002,22.6639
温氏股份,,,,13.758,20.6181,12.5753,7.4361,19.7544
新易盛,,,,,14.7475,12.6619,4.1887,18.2729
健帆生物,,,,,37.1787,39.5902,39.4434,39.7182
雄帝科技,,,,,20.625,20.9182,17.9599,17.3874
万集科技,,,,,10.9084,6.0301,0.894,25.996
佳发教育,,,,,37.2745,39.8018,33.4281,36.7053
筑博设计,,,,,,,,15.4347
平治信息,,,,,10.3002,11.628,18.2375,15.6376
安车检测,,,,,15.4107,19.1971,23.686,18.955
移为通信,,,,,,26.7456,26.1644,25.7786
欧普康视,,,,,,47.6817,45.75899999999999,45.5811
诚迈科技,,,,,,8.1464,2.7382,25.371
康泰生物,,,,,,18.4902,21.6017,29.5629
亿联网络,,,,,,42.5714,46.903999999999996,49.6232
普利制药,,,,,,30.2944,29.0794,31.6965
光莆股份,,,,,,10.5531,15.5168,18.0154
正海生物,,,,,,33.7394,39.8133,38.3787
中孚信息,,,,,,17.2941,11.9191,20.7179
圣邦股份,,,,,,17.6613,18.1159,22.0479
杰恩设计,,,,,,24.9116,24.4655,21.5714
朗新科技,,,,,,17.6389,11.026,36.3746
中石科技,,,,,,14.4353,18.4973,15.9015
艾德生物,,,,,,28.4727,28.8676,23.424
双一科技,,,,,,18.5627,16.1339,18.3122
光威复材,,,,,,24.9849,27.6175,30.4259
森霸传感,,,,,,33.8462,38.3644,40.1709
天宇股份,,,,,,8.4308,11.1566,27.7517
药石科技,,,,,,24.808000000000003,28.1228,22.9636
宏达电子,,,,,,38.0061,34.414,36.6172
光弘科技,,,,,,13.6597,17.1335,19.0291
锐科激光,,,,,,,30.0906,16.8367
迈为股份,,,,,,,21.6325,16.964000000000002
爱朋医疗,,,,,,,23.8498,27.0877
迈瑞医疗,,,,,,,27.0897,28.2968
立华股份,,,,,,,,22.1437
新诺威,,,,,,,,21.769000000000002
迪普科技,,,,,,,,31.4079
新媒股份,,,,,,,,39.6959
智莱科技,,,,,,,,27.3331
拉卡拉,,,,,,,,16.6741
帝尔激光,,,,,,,,43.5973
中简科技,,,,,,,,58.2642
新城市,,,,,,,,24.3145
卓胜微,,,,,,,,32.6936
值得买,,,,,,,,17.9795
唐源电气,,,,,,,,27.0227
壹网壹创,,,,,,,,15.0987
米奥会展,,,,,,,,15.4849
左江科技,,,,,,,,40.5496
力合科技,,,,,,,,31.3148
上海机场,36.4019,38.7905,39.1275,42.7055,42.6623,47.8427,47.5821,48.0678
三一重工,12.835,8.291,2.4896,0.5912,0.7036,5.8095,11.2922,15.1911
浙江广厦,2.2769,2.6176,12.2752,-28.0177,20.5455,22.9533,14.5712,1208.0539999999999
九鼎投资,3.8255,4.2274,9.4056,25.4165,38.4367,43.6892,40.3708,35.9938
浙江富润,17.3698,17.6598,-4.4292,2.5669,15.4529,11.7778,10.3766,17.5323
重庆啤酒,3.9115,3.0021,-0.9942,-4.6198,4.3787,10.2699,12.1494,20.3393
天坛生物,24.6251,25.1283,12.3816,7.1435,14.4582,70.59,25.1068,27.2484
联美控股,22.3083,23.8312,24.6114,23.3085,35.014,39.7296,44.4201,48.4292
卧龙地产,9.6515,6.1963,13.0741,3.9556,5.774,22.8198,23.8191,26.5833
伊力特,12.9195,15.1324,16.5091,17.2385,16.3849,18.5979,20.4218,19.8951
