,2012,2013,2014,2015,2016,2017,2018,2019
西麦食品,,,,,,,,16.8979
青鸟消防,,,,,,,,17.1929
豪尔赛,,,,,,,,19.0661
科安达,,,,,,,,16.3958
乐普医疗,16.2818,13.2965,14.177,13.1051,13.1368,15.0298,19.055,24.9242
华测检测,14.4623,16.4563,13.0264,13.3759,5.3027,5.4757,10.3701,16.2465
亿纬锂能,14.2409,19.8298,9.0466,11.279000000000002,13.7865,16.0504,17.1798,27.3864
北陆药业,12.4162,12.1793,14.6745,4.3027,1.8272,12.0569,12.9899,25.7831
同花顺,2.3133,1.9363,5.188,57.6875,47.6966,23.7051,19.4786,24.4934
建新股份,1.5015,4.4544,4.7991,2.6297,2.5181,9.1989,51.2626,19.5578
智飞生物,9.4061,5.4707,6.107,8.0131,1.3033,15.8378,40.7777,47.6709
青松股份,6.3069,6.1945,8.9238,1.8153,5.3016,13.9066,43.5676,21.9034
信维通信,0.9125,-10.1851,9.703,21.4635,32.0903,37.9722,30.6697,24.2897
上海新阳,10.8733,7.5411,8.2665,4.8082,5.0662,5.6879,0.5161,15.1439
安科瑞,16.615,14.9816,15.0366,12.4826,14.1739,14.9324,13.7602,15.1387
中颖电子,6.0475,4.5901,5.4075,8.3484,16.4237,18.0935,20.5119,20.7262
泰格医药,16.301,13.1178,15.6137,16.750999999999998,10.6993,14.5757,18.2588,24.4163
我武生物,,,26.0117,21.4909,20.8643,25.5491,26.3031,26.6275
汇中股份,,,22.9691,13.7693,9.9619,11.3519,13.3411,16.4162
迪瑞医疗,,,15.3702,11.2951,11.9757,14.377,15.1089,15.9593
花园生物,,,5.922000000000001,1.6994,5.9754,12.8211,21.6272,20.801
九强生物,,,28.7892,22.6658,21.1956,18.7215,18.6042,18.058
南华仪器,,,,11.8367,9.4379,9.3959,6.9132,47.8279
昆仑万维,,,,21.9554,18.2268,16.8384,14.5119,26.3051
鲁亿通,,,,13.4351,5.5157,5.8628,26.747,18.6824
乐凯新材,,,,29.4934,23.3835,19.6531,17.4137,16.7286
先导智能,,,,28.674,34.760999999999996,28.8476,23.8545,19.8168
山河药辅,,,,16.3853,12.7394,11.9256,15.0039,16.5617
深信服,,,,,,,23.3017,19.5633
华铭智能,,,,11.2489,9.1945,7.9301,8.6585,25.0195
迈克生物,,,,18.014,14.7231,15.7725,17.1258,18.0451
中密控股,,,,14.3206,11.5264,12.7977,16.0975,17.9202
濮阳惠成,,,,17.3787,14.5894,15.3025,16.5395,17.8118
万孚生物,,,,24.7224,18.7893,22.5145,20.7694,18.6379
蓝晓科技,,,,9.5553,8.8012,12.1471,16.2901,22.7654
富祥药业,,,,21.2858,25.7218,20.976,18.9689,23.4698
温氏股份,,,,33.2835,44.7222,21.4058,11.7807,35.0581
新易盛,,,,,13.8421,10.6651,2.8633,17.2789
健帆生物,,,,,23.1241,22.0892,26.0218,29.723000000000003
雄帝科技,,,,,14.1093,13.1084,15.7187,15.3084
万集科技,,,,,12.1699,5.0492,0.868,72.539
佳发教育,,,,,15.0225,11.937999999999999,17.6305,23.7401
筑博设计,,,,,,,,19.5805
平治信息,,,,,26.6179,32.9662,44.5939,31.3617
安车检测,,,,,12.9011,14.8366,20.3125,24.7769
移为通信,,,,,,19.9545,15.2546,17.366
欧普康视,,,,,,27.0243,23.6467,26.0695
诚迈科技,,,,,,10.8373,3.4962,30.598000000000003
康泰生物,,,,,,23.7766,30.0079,25.0492
亿联网络,,,,,,32.1207,26.7194,31.2919
普利制药,,,,,,19.1356,22.6129,29.6813
