,2012,2013,2014,2015,2016,2017,2018,2019
金时科技,,,,,,,,14.0161
西麦食品,,,,,,,,13.099
青鸟消防,,,,,,,,12.167
豪尔赛,,,,,,,,12.9633
科安达,,,,,,,,13.4094
乐普医疗,15.5334,12.4744,12.9987,10.3114,8.6674,8.9155,8.9942,11.1071
华测检测,13.100999999999999,14.4517,10.8562,10.4817,4.4357,4.1467,7.4597,11.395999999999999
亿纬锂能,11.5255,14.8184,5.4841,7.9649,9.1703,7.3105,6.6651,11.7663
北陆药业,11.3762,10.9575,12.3289,3.1595,1.5458,11.3322,12.1635,23.5148
同花顺,2.0807,1.7098,4.1697,37.2519,31.7277,17.506,15.1988,19.1674
建新股份,1.4748,4.3538,4.5954,2.4911,2.4098,8.5905,46.6067,18.1317
智飞生物,8.8585,5.1076,5.5826,7.3165,1.2064,12.6853,26.5914,26.6602
青松股份,3.7114,3.3814,4.9147,1.114,4.047,11.3691,33.1416,15.5061
信维通信,0.8007,-8.1386,6.8415,14.79,20.4963,20.9645,15.7752,13.1792
上海新阳,9.523,6.3774,6.771,3.7662,4.0553,4.8069,0.4029,12.4231
安科瑞,15.3196,13.7704,12.6428,9.5033,11.1421,11.4921,10.6384,10.9855
中颖电子,5.3552,4.2088,4.9077,7.2299,13.6464,14.3112,16.0278,16.2574
泰格医药,14.7513,12.2981,12.5964,11.7191,7.8423,11.1253,12.8908,16.5135
我武生物,,,25.0354,20.619,19.7497,24.0879,24.3273,23.5405
汇中股份,,,20.6174,12.6596,9.0925,10.3861,11.975,14.2831
迪瑞医疗,,,12.7275,8.5261,8.6901,11.3836,12.498,13.4717
花园生物,,,5.5486,1.565,5.257999999999999,11.4793,20.2167,18.4496
九强生物,,,26.9129,21.2505,19.8798,16.8104,16.5046,16.505
南华仪器,,,,10.5726,8.6126,8.5663,6.1237,38.2657
昆仑万维,,,,15.1319,10.6969,15.4478,14.3361,14.533
鲁亿通,,,,8.3003,4.1111,4.1097,11.8912,8.0719
乐凯新材,,,,24.6945,21.2966,18.0632,16.1582,15.623
先导智能,,,,11.8714,14.0673,11.8564,9.8488,8.5337
山河药辅,,,,12.2224,10.0494,8.969,11.2195,11.8654
深信服,,,,,,,15.0002,12.7494
华铭智能,,,,7.7818,6.7182,5.5775,6.0911,13.6346
迈克生物,,,,13.987,12.9727,13.0046,11.8658,11.2536
中密控股,,,,11.7618,9.4992,10.2345,12.4853,13.5119
濮阳惠成,,,,14.6572,13.1112,12.7493,13.6776,15.3148
万孚生物,,,,20.7459,16.1287,16.6685,15.8033,15.1575
蓝晓科技,,,,7.9123,7.2528,9.5151,9.7142,12.069
富祥药业,,,,11.4009,14.3288,10.9466,9.6521,12.8073
温氏股份,,,,21.9675,32.9983,15.4713,8.2652,24.169
新易盛,,,,,11.169,8.5465,2.2885,13.982000000000001
健帆生物,,,,,20.3283,18.9491,21.3589,25.0161
雄帝科技,,,,,10.8948,9.5774,10.6015,11.1403
万集科技,,,,,7.617000000000001,3.4332,0.5228,40.8122
佳发教育,,,,,13.1087,10.9112,14.8751,18.9899
筑博设计,,,,,,,,10.6581
平治信息,,,,,19.7793,19.9361,21.3483,15.4827
安车检测,,,,,7.0935,8.0126,11.2703,14.0566
移为通信,,,,,,16.75,12.824000000000002,14.4363
欧普康视,,,,,,23.2159,19.5107,20.8111
诚迈科技,,,,,,8.7995,2.5773,23.1603
康泰生物,,,,,,11.2658,15.7084,15.7639
亿联网络,,,,,,30.0631,25.1436,28.8039
普利制药,,,,,,14.975,18.2937,21.288
