,Date,Build,C&P Composite Index,Valid Case Num
53,2022-10-25,38978,96.75883538,1
54,2022-10-25,38839,92.36403589,1
55,2022-10-24,38637,90.71598608,1
56,2022-10-22,38592,92.07104926,1
57,2022-10-21,38515,91.52169932,1
58,2022-10-20,38287,92.2541659,1
59,2022-10-19,38018,91.63156931,1
60,2022-10-18,37820,91.59494598,1
61,2022-10-17,37536,92.29078923,1
62,2022-10-15,37295,93.82896905,1
63,2022-10-13,36979,93.02325581,1
64,2022-10-12,36846,92.43728255,1
65,2022-10-10,36384,91.92455594,1
66,2022-10-09,36188,91.63156931,1
67,2022-10-05,35717,92.73026918,1
68,2022-10-03,35431,92.51052921,1
69,2022-10-01,35316,92.65702252,1
70,2022-09-28,34799,91.96117927,1
71,2022-09-26,34335,92.2541659,1
72,2022-09-25,34057,90.8624794,1
73,2022-09-24,34017,90.8624794,1
74,2022-09-23,33956,92.62039919,1
75,2022-09-21,33440,93.16974913,1
76,2022-09-20,33162,91.77806263,1
77,2022-09-16,32383,92.80351584,1
78,2022-09-16,32649,92.8767625,1
79,2022-09-15,32334,93.1331258,1
80,2022-09-15,32123,92.21754257,1
81,2022-09-14,32003,92.95000916,1
82,2022-09-14,31812,91.96117927,1
83,2022-09-13,31502,91.55832265,1
84,2022-09-12,31354,91.9978026,1
85,2022-09-12,31230,92.36403589,1
86,2022-09-11,31210,91.9978026,1
87,2022-09-10,31191,92.51052921,1
88,2022-09-09,31076,93.46273576,1
89,2022-09-09,30897,91.52169932,1
90,2022-09-08,30573,91.55832265,1
91,2022-09-08,30759,92.58377587,1
92,2022-09-07,30281,93.46273576,1
93,2022-09-06,30008,91.9978026,1
94,2022-09-05,29917,92.95000916,1
95,2022-09-05,29735,91.70481597,1
96,2022-09-04,29724,91.85130928,1
97,2022-09-04,29717,91.55832265,1
98,2022-09-03,29711,91.7414393,1
99,2022-09-02,29577,91.77806263,1
100,2022-09-02,29420,91.66819264,1
101,2022-09-01,29129,91.30195935,1
102,2022-08-31,29038,92.32741256,1
103,2022-08-31,28888,90.6061161,1
104,2022-08-30,28596,93.02325581,1
105,2022-08-30,28760,92.18091925,1
106,2022-08-29,28311,93.60922908,1
107,2022-08-28,28302,92.91338583,1
108,2022-08-27,28265,92.36403589,1
109,2022-08-27,28250,91.92455594,1
110,2022-08-26,28157,92.29078923,1
111,2022-08-26,27944,93.3894891,1
112,2022-08-24,27592,92.03442593,1
113,2022-08-24,27428,92.18091925,1
114,2022-08-23,27125,92.14429592,1
115,2022-08-21,26916,92.36403589,1
116,2022-08-21,26921,91.44845266,1
117,2022-08-20,26896,91.33858268,1
118,2022-08-19,26687,91.26533602,1
119,2022-08-19,26837,91.9978026,1
120,2022-08-18,26437,90.89910273,1
121,2022-08-18,26586,92.29078923,1
122,2022-08-17,26354,90.93572606,1
123,2022-08-15,25824,92.03442593,1
124,2022-08-14,25785,91.66819264,1
125,2022-08-13,25778,90.71598608,1
126,2022-08-12,25731,91.52169932,1
127,2022-08-11,25407,91.41182934,1
128,2022-08-10,25135,92.73026918,1
129,2022-08-09,24858,92.29078923,1
130,2022-08-08,24375,92.10767259,1
131,2022-08-07,24350,92.29078923,1
132,2022-08-07,24357,92.8767625,1
133,2022-08-06,24347,92.36403589,1
134,2022-08-06,24329,92.32741256,1
135,2022-08-05,24319,93.20637246,1
136,2022-08-04,23951,92.43728255,1
137,2022-08-03,23775,92.98663248,1
138,2022-08-02,23701,92.51052921,1
139,2022-08-02,23503,91.15546603,1
140,2022-08-01,23447,91.70481597,1
141,2022-08-01,23228,91.7414393,1
142,2022-07-31,23205,90.97234939,1
143,2022-07-31,23178,91.41182934,1
144,2022-07-30,23154,91.26533602,1
145,2022-07-30,23169,91.81468595,1
146,2022-07-29,23133,91.7414393,1
147,2022-07-28,22754,89.80040286,1
148,2022-07-27,22508,91.52169932,1
149,2022-07-27,22658,91.1188427,1
150,2022-07-26,22288,91.48507599,1
151,2022-07-26,22455,91.70481597,1
152,2022-07-25,22030,91.52169932,1
153,2022-07-23,21991,92.21754257,1
154,2022-07-22,21957,89.9835195,1
155,2022-07-22,21737,92.73026918,1
156,2022-07-21,21479,91.63156931,1
157,2022-07-20,21411,91.9978026,1
158,2022-07-20,21218,92.29078923,1
159,2022-07-19,21169,90.71598608,1
160,2022-07-18,20670,92.65702252,1
161,2022-07-18,20899,90.78923274,1
162,2022-07-17,20625,95.1474089,1
163,2022-07-16,20611,91.96117927,1
164,2022-07-16,20580,92.14429592,1
165,2022-07-15,20352,92.18091925,1
166,2022-07-15,20558,91.9978026,1
167,2022-07-13,19825,91.7414393,1
168,2022-07-10,19199,91.52169932,1
169,2022-07-08,19133,91.96117927,1
170,2022-07-07,18650,91.92455594,1
171,2022-07-06,18513,92.10767259,1
172,2022-07-05,18207,92.36403589,1
173,2022-07-05,17997,91.7414393,1
174,2022-07-04,17752,92.84013917,1
175,2022-07-04,17944,90.93572606,1
176,2022-07-03,17720,91.92455594,1
