TimeStamp,ASP,EQ,free_tw
2024-01-26T08:40:15.619,ASP-1732-Disp_1,L2_LO_UL_0,4523
2024-01-26T08:40:15.619,ASP-1732-Disp_1,L2_LO_DL_RCV0,4523
2024-01-26T08:40:15.893,ASP-1732-Disp_1,L2_LO_DL_RCV0,4521
2024-01-26T08:40:15.893,ASP-1732-Disp_1,L2_LO_UL_0,4521
2024-01-26T08:40:15.926,ASP-1732-Disp_1,L2_LO_DL_RCV0,4521
2024-01-26T08:40:15.958,ASP-1732-Disp_1,L2_LO_DL_RCV0,4522
2024-01-26T08:40:15.958,ASP-1732-Disp_1,L2_LO_UL_0,4522
2024-01-26T08:40:16.011,ASP-1732-Disp_1,L2_LO_DL_RCV0,4523
2024-01-26T08:40:16.011,ASP-1732-Disp_1,L2_LO_UL_0,4523
2024-01-26T08:40:16.789,ASP-1732-Disp_1,L2_LO_DL_RCV0,4522
2024-01-26T08:40:16.789,ASP-1732-Disp_1,L2_LO_UL_0,4522
2024-01-26T08:40:16.789,ASP-1732-Disp_1,L2_LO_DL_RCV0,4522
2024-01-26T08:40:16.909,ASP-1732-Disp_1,L2_LO_DL_RCV0,4517
2024-01-26T08:40:16.909,ASP-1732-Disp_1,L2_LO_DL_RCV0,4517
2024-01-26T08:40:16.909,ASP-1732-Disp_1,L2_LO_UL_0,4517
2024-01-26T08:40:16.909,ASP-1732-Disp_1,L2_LO_UL_0,4517
2024-01-26T08:40:17.111,ASP-1732-Disp_1,L2_LO_DL_RCV0,4518
2024-01-26T08:40:18.006,ASP-1732-Disp_1,L2_LO_UL_0,4515
2024-01-26T08:40:18.015,ASP-1732-Disp_1,L2_LO_UL_0,4514
2024-01-26T08:40:18.015,ASP-1732-Disp_1,L2_LO_DL_RCV0,4515
2024-01-26T08:40:18.949,ASP-1732-Disp_1,L2_LO_UL_0,4511
2024-01-26T08:40:18.949,ASP-1732-Disp_1,L2_LO_DL_RCV0,4512
2024-01-26T08:40:19.069,ASP-1732-Disp_1,L2_LO_UL_0,4511
2024-01-26T08:40:19.103,ASP-1732-Disp_1,L2_LO_DL_RCV0,4513
2024-01-26T08:40:19.104,ASP-1732-Disp_1,L2_LO_UL_0,4512
2024-01-26T08:40:19.133,ASP-1732-Disp_1,L2_LO_DL_RCV0,4513
2024-01-26T08:40:19.789,ASP-1732-Disp_1,L2_LO_UL_0,4510
2024-01-26T08:40:19.789,ASP-1732-Disp_1,L2_LO_DL_RCV0,4512
2024-01-26T08:40:19.829,ASP-1732-Disp_1,L2_LO_DL_RCV0,4511
2024-01-26T08:40:19.849,ASP-1732-Disp_1,L2_LO_UL_0,4508
2024-01-26T08:40:19.849,ASP-1732-Disp_1,L2_LO_DL_RCV0,4510
2024-01-26T08:40:19.850,ASP-1732-Disp_1,L2_LO_UL_0,4507
2024-01-26T08:40:19.850,ASP-1732-Disp_1,L2_LO_DL_RCV0,4509
2024-01-26T08:40:19.875,ASP-1732-Disp_1,L2_LO_UL_0,4506
2024-01-26T08:40:20.349,ASP-1732-Disp_1,L2_LO_UL_0,4503
2024-01-26T08:40:20.459,ASP-1732-Disp_1,L2_LO_DL_RCV0,4508
2024-01-26T08:40:20.459,ASP-1732-Disp_1,L2_LO_UL_0,4504
2024-01-26T08:40:20.469,ASP-1732-Disp_1,L2_LO_UL_0,4505
2024-01-26T08:40:20.883,ASP-1732-Disp_1,L2_LO_DL_RCV0,4509
2024-01-26T08:40:20.883,ASP-1732-Disp_1,L2_LO_UL_0,4505
2024-01-26T08:40:20.886,ASP-1732-Disp_1,L2_LO_DL_RCV0,4510
2024-01-26T08:40:20.886,ASP-1732-Disp_1,L2_LO_UL_0,4506
2024-01-26T08:40:20.889,ASP-1732-Disp_1,L2_LO_UL_0,4506
2024-01-26T08:40:20.889,ASP-1732-Disp_1,L2_LO_DL_RCV0,4510
2024-01-26T08:40:20.951,ASP-1732-Disp_1,L2_LO_UL_0,4505
2024-01-26T08:40:20.951,ASP-1732-Disp_1,L2_LO_DL_RCV0,4509
2024-01-26T08:40:20.952,ASP-1732-Disp_1,L2_LO_UL_0,4504
2024-01-26T08:40:20.952,ASP-1732-Disp_1,L2_LO_DL_RCV0,4508
2024-01-26T08:40:20.952,ASP-1732-Disp_1,L2_LO_UL_0,4503
2024-01-26T08:40:20.952,ASP-1732-Disp_1,L2_LO_DL_RCV0,4505
2024-01-26T08:40:20.952,ASP-1732-Disp_1,L2_LO_DL_RCV0,4505
